course_code,course_duration,course_fees_int,course_fees_uk,course_intake,course_location,course_title,course_type,course_url,data_requirements
Ba,"Full time, 3/4 years",2310,9250,September 2023,Docklands Campus,Ba Hons Airline Airport Management,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-airline-airport-management,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics,
	 "
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons 3D Game Art,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-3d-game-art,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate –  24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English"
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Creative Writing Screen,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-creative-writing-screen,"A Levels including one subject in Creative Writing, English Language or English Literature,BTEC Extended Diploma – MPP,BTEC Diploma – MM,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,English Grade 4/C or Level 2 Functional Skills in English"
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Creative Professional Writing,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-creative-professional-writing,"A Levels in at least two subjects including Creative Writing, English Language or English Literature.,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English"
Ba,"Full time, 3 years",14160,9250,September 2023,Docklands Campus,Ba Hons Acting Stage Screen,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-acting-stage-screen,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English"
Ba,"Full time, 3 years",14160,9250,September 2023,University Square Stratford,Ba Hons Criminology Criminal Justice,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-criminology-criminal-justice,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics, "
Ba,"Full time, 3 years",14160,9250,September 2023,University Square Stratford,Ba Hons Criminology Criminal Justice Pathway Cyber Criminology,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-criminology-criminal-justice-pathway-cyber-criminology,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English,GCSE Mathematics Grade 4/C or Level 2 Functional Skills in Mathematics, "
Ba,"Full time, 3/4 years",14160,9250,September 2023,Docklands Campus,Ba Hons Design Interactions,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-design-interactions,"112 UCAS points from an equivalent Level 3 qualification listed on the ,,"
Ba,"Full time, 3 years",14160,9250,September 2023,University Square Stratford,Ba Hons Drama Applied Theatre Performance,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-drama-applied-theatre-performance,"A Levels in at least two subjects,BTEC Extended Diploma – DMM,BTEC Diploma – D*D*,Access to HE Diploma,T Levels, International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English"
Ba,"Full time, 3 years",2310,9250,September 2023,Docklands Campus,Ba Hons Dance Urban Practice,Undergraduate,https://uel.ac.uk/undergraduate/courses/ba-hons-dance-urban-practice,"A Levels,BTEC Extended Diploma – MPP,BTEC Diploma – MM,Access to HE Diploma,T Levels,International Baccalaureate – 24 points including a minimum of 15 points at Higher Level,GCSE English Grade 4/C or Level 2 Functional Skills in English"
